"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VALUE";
"2";"0R JUMPER";"C-EUC0603";"C0603";"C7, C46";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"0R JUMPER 0402";"C-EUC0402";"C0402";"C13, C34, C35";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"0R JUMPER 0402";"R-EU_R0402";"R0402";"R17, R20, R21";"RESISTOR, European symbol";"";"";"";"";"";
"2";"0R JUMPER 0603";"R-EU_R0603";"R0603";"R30, R42";"RESISTOR, European symbol";"";"";"";"";"";
"1";"7M50072001";"KX-7";"3.2X2.5_KX-7";"Q1";"Quartz Crystals (MHz) SMD:";"";"";"";"";"";
"11";"CAP CER 0.01uF X7R 0402";"C-EUC0402";"C0402";"C4, C11, C12, C18, C20, C23, C24, C26, C30, C36, C37";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 0.033uF 0603";"C-EUC0603";"C0603";"C54";"CAPACITOR, European symbol";"";"";"";"";"";
"5";"CAP CER 0.1UF 25V X7R 0603 10%";"C-EUC0603";"C0603";"C2, C39, C41, C50, C52";"CAPACITOR, European symbol";"";"";"";"";"";
"23";"CAP CER 0.1uF X7R 0402";"C-EUC0402";"C0402";"C5, C6, C8, C9, C14, C15, C16, C17, C19, C21, C22, C25, C27, C28, C29, C31, C32, C33, C38, C43, C44, C45, C47";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"CAP CER 10000PF 25V X7R 0603 10%";"C-EUC0603";"C0603";"C49, C51";"CAPACITOR, European symbol";"";"";"";"";"";
"13";"CAP CER 10uF 6.3V X5R 0603";"C-EUC0603";"C0603";"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 22uF 6.3V 0603";"C-EUC0603";"C0603";"C55";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"CAP CER 3300pF 0603";"C-EUC0603";"C0603";"C53";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"CAP CER 4.7UF 6.3V X5R 0603 10%";"C-EUC0603";"C0603";"C40, C42";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"DNP";"C-EUC0603";"C0603";"C3, C10, C48";"CAPACITOR, European symbol";"";"";"";"";"";
"6";"DNP";"R-EU_R0402";"R0402";"R15, R16, R22, R23, R24, R25";"RESISTOR, European symbol";"";"";"";"";"";
"10";"DNP";"R-EU_R0603";"R0603";"R3, R7, R8, R9, R10, R11, R14, R36, R46, R54";"RESISTOR, European symbol";"";"";"";"";"";
"1";"DNP 0603";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"DNP 0603";"R-EU_R0603";"R0603";"R18, R19";"RESISTOR, European symbol";"";"";"";"";"";
"1";"EOS_MOTHERBOARD";"JP5Q";"JP5Q";"JP6";"JUMPER";"";"";"";"";"";
"10";"FERRITE BEAD 220 OHM 0402 1LN";"INDUCTOR0402";"R0402";"L1, L2, L3, L4, L5, L6, L7, L8, L9, L10";"";"";"";"";"";"";
"1";"GPIO0";"JP2E";"JP2_ROUND";"JP3";"JUMPER";"";"";"";"";"";
"1";"GPIO1";"JP2E";"JP2_ROUND";"JP9";"JUMPER";"";"";"";"";"";
"1";"GPIO2";"JP2E";"JP2_ROUND";"JP10";"JUMPER";"";"";"";"";"";
"1";"GPIO3";"JP2E";"JP2_ROUND";"JP11";"JUMPER";"";"";"";"";"";
