"Part";"Value";"Device";"Package";"Description";"";
"C1";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"1n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"1300p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C13";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C14";"47u, 20V";"CPOL-EUCT7343";"CT7343";"POLARIZED CAPACITOR, European symbol";"";
"C15";"47u, 20V";"CPOL-EUCT7343";"CT7343";"POLARIZED CAPACITOR, European symbol";"";
"C16";"4.7u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C17";"4u7";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C20";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C21";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C22";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C23";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C24";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
