"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"6";"0R";"R-EU_R0603";"R0603";"R3, R47, R51, R71, R73, R74";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-EU_R0402";"R0402";"R33";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"100R";"R-EU_R0603";"R0603";"R29, R75, R76";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"100R, 1%";"R-EU_R0603";"R0603";"R37, R42";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"100k";"R-EU_R0603";"R0603";"R56, R57, R62";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"21";"100n";"C-EUC0402";"C0402";"C23, C29, C33, C35, C36, C37, C43, C49, C55, C58, C59, C61, C65, C73, C77, C80, C83, C89, C90, C93, C95";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"28";"100n";"C-EUC0603";"C0603";"C7, C8, C9, C10, C16, C17, C20, C46, C53, C67, C76, C79, C88, C91, C92, C94, C96, C99, C100, C102, C104, C106, C107, C109, C110, C111, C112, C113";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100p";"C-EUC0402";"C0402";"C51";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"100p";"C-EUC0603";"C0603";"C70";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"102k, 1%";"R-EU_R0603";"R0603";"R64";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"10R";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R36, R54";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"22";"10n";"C-EUC0402";"C0402";"C21, C24, C28, C30, C34, C38, C40, C44, C47, C48, C50, C60, C62, C63, C64, C66, C74, C78, C81, C84, C85, C97";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"11";"10n";"C-EUC0603";"C0603";"C1, C2, C5, C6, C31, C41, C52, C54, C75, C82, C105";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"3";"10u";"C-EUC0805";"C0805";"C11, C12, C39";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"10u";"C-EUC1206";"C1206";"C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"10u, 10V";"C-EUC0805";"C0805";"C56";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"110R, 1%";"R-EU_R0603";"R0603";"R50";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"11k8";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"127k, 1%";"R-EU_R0603";"R0603";"R59";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"1300p";"C-EUC0603";"C0603";"C4, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"137k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"150R";"R-EU_R0402";"R0402";"R22, R31";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"15n";"C-EUC0603";"C0603";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"16k9";"R-EU_R0603";"R0603";"R8, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"6";"1k";"R-EU_R0603";"R0603";"R14, R15, R18, R43, R44, R48";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"1k4";"R-EU_R0603";"R0603";"R41";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"1n";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
