"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"1";"74AHC1G14DCK";"74AHC1G14DCK";"SC70-5";"IC6";"Single Schmitt-Trigger Inverter Gate";"";"";"";"";"";"";"";
"1";"74AUC1G32DCK";"74AUC1G32DCK";"SC70-5";"IC3";"2-input OR gate";"";"";"";"";"";"";"";
"1";"74LVC1G02DCK";"74LVC1G02DCK";"SC70-5";"IC7";"2-input NOR gate";"";"";"";"";"";"";"";
"15";"AV_DET";"TPTP10R";"TP10R";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15";"Test pad";"";"";"";"";"";"";"";
"1";"BCV62";"BCV62";"SOT143B";"IC4";"";"";"";"";"";"";"";"BCV62";
"9";"CAP CER 0.1UF 50V X7R 0603 5%";"C-EUC0603";"C0603";"C1, C2, C4, C5, C6, C8, C9, C15, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"CAP CER 0.1UF 50V X7R 0805 5%";"C-EUC0805";"C0805";"C12, C13, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 100PF 50V C0G 0603 5%";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP FILM 100PF 5% 0805";"C-EUC0805";"C0805";"C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"DNP";"C-EUC0603";"C0603";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"DNP";"C-EUC0805";"C0805";"C10, C16, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"DNP";"R-EU_R0603";"R0603";"R3, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"4";"DNP";"R-EU_R0805";"R0805";"R1, R2, R6, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"FORCE_QUENCH";"MMCXBIGPAD";"MMCX-SMT-BIGPADS";"X3";"";"";"";"";"";"";"";"";
"1";"I_HOLDOFF";"MMCXBIGPAD";"MMCX-SMT-BIGPADS";"X1";"";"";"";"";"";"";"";"";
"1";"LTC1711";"LTC1711";"MSOP8";"IC8";"";"";"";"";"";"";"";"";
"4";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";
"1";"NC7SV74K8X";"NC7SV74K8X";"US8_3.1MM_JDEC_MO-187";"IC5";"";"";"";"";"";"";"";"NC7SV74K8X";
"1";"NC7WZ16P6X";"NC7WZ16P6X";"SC70-6L";"IC9";"";"";"";"";"";"";"";"";
"1";"NL17SZ125";"74AHC1G125DCK";"SC70-5";"IC2";"Single Bus Buffer Gate with 3-State Output";"";"";"";"";"";"";"";
"1";"OUT";"MMCXBIGPAD";"MMCX-SMT-BIGPADS";"X4";"";"";"";"";"";"";"";"";
"1";"RES SMD 0R 0603";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"RES SMD 0R 0805";"R-EU_R0805";"R0805";"R13, R14, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"RES SMD 10.2K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R5, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"RES SMD 10K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R4, R12, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 10M OHM 5% 1/10W 0603";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 1K OHM 1% 1/10W 0805";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 49.9 OHM 1% 1/8W 0805";"R-EU_R0805";"R0805";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"SN74LVC1G123DCUT";"SN74LVC1G123DCUT";"SOP50P310X90-8N";"U1";"SINGLE RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH SCHMITT-TRIGGER INPUTS";"SN74LVC1G123DCUT";"1494929";"10J9646";"SOP-8";"Texas Instruments";"";"";
"1";"SPAD";"SPAD-GENERIC";"SPAD-WIREBOND-GENERIC-CRYO";"IC1";"";"";"";"";"";"";"";"";
"5";"Samsung CIM05J152NC";"INDUCTOR0402";"R0402";"L1, L2, L3, L4, L5";"";"";"";"";"";"";"";"";
"1";"V_A";"MMCXBIGPAD";"MMCX-SMT-BIGPADS";"X5";"";"";"";"";"";"";"";"";
"1";"V_LOGIC";"MMCXBIGPAD";"MMCX-SMT-BIGPADS";"X2";"";"";"";"";"";"";"";"";
