Partlist

Exported from aqc-rev1.sch at 2/8/2017 6:35:12 PM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                      Package                     Library                                    Sheet

C1       100n                        C-EUC0603                   C0603                       rcl                                        3
C2       10n                         C-EUC0402                   C0402                       rcl                                        4
C3       10n                         C-EUC0603                   C0603                       rcl                                        3
C4       10n                         C-EUC0402                   C0402                       rcl                                        4
C5       10n                         C-EUC0603                   C0603                       rcl                                        3
C6       10n                         C-EUC0603                   C0603                       rcl                                        3
C7       100n                        C-EUC0603                   C0603                       rcl                                        3
C8       100n                        C-EUC0402                   C0402                       rcl                                        4
C9       33u, 25V                    CPOL-EUCT7343               CT7343                      rcl                                        3
C10      10n                         C-EUC0603                   C0603                       rcl                                        4
C11      100n                        C-EUC0402                   C0402                       rcl                                        4
C12      100n                        C-EUC0402                   C0402                       rcl                                        4
C13      10n                         C-EUC0402                   C0402                       rcl                                        4
C14      100n                        C-EUC0603                   C0603                       rcl                                        3
C15      100n                        C-EUC0603                   C0603                       rcl                                        3
C16      10n                         C-EUC0402                   C0402                       rcl                                        4
C17      10n                         C-EUC0402                   C0402                       rcl                                        3
C18      10n                         C-EUC0402                   C0402                       rcl                                        3
C19      100n                        C-EUC0402                   C0402                       rcl                                        4
C20      100n                        C-EUC0402                   C0402                       rcl                                        3
C21      100n                        C-EUC0402                   C0402                       rcl                                        5
C22      10n                         C-EUC0402                   C0402                       rcl                                        5
C23      1n                          C-EUC0603                   C0603                       rcl                                        5
C24      100n                        C-EUC0402                   C0402                       rcl                                        4
C25      10n                         C-EUC0402                   C0402                       rcl                                        3
C26      10n                         C-EUC0402                   C0402                       rcl                                        3
C27      10n                         C-EUC0402                   C0402                       rcl                                        4
C28      100n                        C-EUC0402                   C0402                       rcl                                        3
C29      10n                         C-EUC0402                   C0402                       rcl                                        5
C30      100n                        C-EUC0402                   C0402                       rcl                                        5
C31      10n                         C-EUC0402                   C0402                       rcl                                        5
C32      100n                        C-EUC0402                   C0402                       rcl                                        5
C33      10n                         C-EUC0402                   C0402                       rcl                                        5
C34      100n                        C-EUC0402                   C0402                       rcl                                        5
C35      10n                         C-EUC0402                   C0402                       rcl                                        5
C36      10u                         C-EUC1206                   C1206                       rcl                                        2
C37      10n                         C-EUC0603                   C0603                       rcl                                        2
C38      10u                         C-EUC1206                   C1206                       rcl                                        2
C39      100n                        C-EUC0603                   C0603                       rcl                                        2
C40      10n                         C-EUC0603                   C0603                       rcl                                        2
C41      10u                         C-EUC1206                   C1206                       rcl                                        2
C42      100n                        C-EUC0603                   C0603                       rcl                                        2
C43      10n                         C-EUC0603                   C0603                       rcl                                        2
C44      10u                         C-EUC1206                   C1206                       rcl                                        2
C45      10n                         C-EUC0603                   C0603                       rcl                                        2
C46      10u                         C-EUC1206                   C1206                       rcl                                        2
C47      10u                         C-EUC1206                   C1206                       rcl                                        2
D1       SD101BW-TP                  DIODE-SOD123                SOD123                      diode                                      5
H1       MOUNT-PAD-ROUND3.2          MOUNT-PAD-ROUND3.2          3,2-PAD                     holes                                      2
H2       MOUNT-PAD-ROUND3.2          MOUNT-PAD-ROUND3.2          3,2-PAD                     holes                                      2
H3       MOUNT-PAD-ROUND3.2          MOUNT-PAD-ROUND3.2          3,2-PAD                     holes                                      2
